day,price,,,
18/8/19,26.52745,,,
18/8/19,27.79874,,,
18/8/19,31.57271,,,
18/8/19,39.25835,,,
18/8/19,50.30639,,,
18/8/19,42.23058,,,
18/8/19,36.25047,,,
18/8/19,30.12301,,,
18/8/19,27.54955,,,
19/8/19,27.6997,,,
19/8/19,26.92946,,,
19/8/19,25.51354,,,
19/8/19,25.4594,,,
19/8/19,26.183,,,
19/8/19,29.8844,,,
19/8/19,34.15769,,,
19/8/19,29.1252,,,
19/8/19,20.52679,,,
19/8/19,18.76999,,,
19/8/19,19.60402,,,
19/8/19,23.17947,,,
19/8/19,25.86876,,,
19/8/19,28.90011,,,
19/8/19,29.45777,,,
19/8/19,32.33164,,,
19/8/19,34.45241,,,
19/8/19,37.53311,,,
19/8/19,46.25036,,,
19/8/19,59.78504,,,
19/8/19,45.92531,,,
19/8/19,39.41534,,,
19/8/19,33.18984,,,
19/8/19,29.63019,,,
20/8/19,27.80436,,,
20/8/19,27.25693,,,
20/8/19,25.42693,,,
20/8/19,25.51171,,,
20/8/19,26.54993,,,
20/8/19,29.28973,,,
20/8/19,35.14309,,,
20/8/19,30.18053,,,
20/8/19,20.45514,,,
20/8/19,19.74622,,,
20/8/19,22.46621,,,
20/8/19,24.23915,,,
20/8/19,26.9526,,,
20/8/19,28.56363,,,
20/8/19,31.08036,,,
20/8/19,32.18477,,,
20/8/19,36.40908,,,
20/8/19,38.30794,,,
20/8/19,50.85686,,,
20/8/19,62.28262,,,
20/8/19,45.87078,,,
20/8/19,38.98187,,,
20/8/19,31.92858,,,
20/8/19,29.04327,,,
21/8/19,26.67027,,,
21/8/19,24.78129,,,
21/8/19,24.39648,,,
21/8/19,24.30479,,,
21/8/19,24.33035,,,
21/8/19,28.00569,,,
21/8/19,30.50486,,,
21/8/19,27.15151,,,
21/8/19,19.37133,,,
21/8/19,16.92898,,,
21/8/19,22.2291,,,
21/8/19,25.10092,,,
21/8/19,27.14457,,,
21/8/19,27.28199,,,
21/8/19,31.18291,,,
21/8/19,31.87843,,,
21/8/19,34.54489,,,
21/8/19,39.18177,,,
21/8/19,57.91483,,,
21/8/19,68.25631,,,
21/8/19,48.10507,,,
21/8/19,36.82905,,,
21/8/19,32.33849,,,
21/8/19,30.83125,,,
22/8/19,25.60079,,,
22/8/19,25.40509,,,
22/8/19,23.48151,,,
22/8/19,22.08002,,,
22/8/19,23.29529,,,
22/8/19,26.73571,,,
22/8/19,31.50744,,,
22/8/19,26.75905,,,
22/8/19,20.06675,,,
22/8/19,19.8461,,,
22/8/19,22.25652,,,
22/8/19,25.76584,,,
22/8/19,27.62628,,,
22/8/19,28.4767,,,
22/8/19,30.46878,,,
22/8/19,32.93065,,,
22/8/19,36.06689,,,
22/8/19,39.73827,,,
22/8/19,55.7469,,,
22/8/19,64.58944,,,
22/8/19,45.43611,,,
22/8/19,37.33825,,,
22/8/19,31.35115,,,
22/8/19,28.81934,,,
23/8/19,27.35358,,,
23/8/19,26.73859,,,
23/8/19,25.38962,,,
23/8/19,24.58688,,,
23/8/19,25.53625,,,
23/8/19,29.17235,,,
23/8/19,33.25576,,,
23/8/19,29.1009,,,
23/8/19,22.42466,,,
23/8/19,19.13924,,,
23/8/19,21.18602,,,
23/8/19,22.24435,,,
23/8/19,25.13814,,,
23/8/19,27.09174,,,
23/8/19,30.34459,,,
23/8/19,32.41868,,,
23/8/19,33.50948,,,
23/8/19,36.26832,,,
23/8/19,51.3425,,,
23/8/19,56.85621,,,
23/8/19,41.55737,,,
23/8/19,34.43009,,,
23/8/19,31.68082,,,
23/8/19,29.0328,,,
24/8/19,28.56602,,,
24/8/19,27.95877,,,
24/8/19,27.9736,,,
24/8/19,26.17518,,,
24/8/19,26.05148,,,
24/8/19,29.82817,,,
24/8/19,28.91817,,,
24/8/19,24.2485,,,
24/8/19,16.58417,,,
24/8/19,15.24139,,,
24/8/19,15.58291,,,
24/8/19,19.36294,,,
24/8/19,21.68983,,,
24/8/19,23.86969,,,
24/8/19,25.98403,,,
24/8/19,29.11221,,,
24/8/19,30.83665,,,
24/8/19,34.72609,,,
24/8/19,50.21188,,,
24/8/19,63.41222,,,
24/8/19,42.35158,,,
24/8/19,32.68451,,,
24/8/19,30.63732,,,
24/8/19,28.6314,,,
25/8/19,25.3369,,,
25/8/19,27.09443,,,
25/8/19,25.42666,,,
25/8/19,25.42526,,,
25/8/19,26.67034,,,
25/8/19,27.20484,,,
25/8/19,24.99607,,,
25/8/19,19.99543,,,
25/8/19,11.26117826,,,
25/8/19,11.49369,,,
25/8/19,14.1184,,,
25/8/19,18.63291,,,
25/8/19,23.18378,,,
25/8/19,24.13559,,,
25/8/19,26.17579,,,
25/8/19,28.09407,,,
25/8/19,30.16043,,,
25/8/19,34.91216,,,
25/8/19,50.34961,,,
25/8/19,54.29825,,,
25/8/19,39.76516,,,
25/8/19,32.68542,,,
25/8/19,29.63152,,,
25/8/19,27.46951,,,
26/8/19,27.92799,,,
26/8/19,24.96475,,,
