day,price
20/3/21,32.03979
20/3/21,38.03775
20/3/21,50.12885
20/3/21,33.16946
20/3/21,25.33394
20/3/21,27.31229
20/3/21,22.76321
20/3/21,20.62240943
20/3/21,20.29235885
20/3/21,19.91607074
20/3/21,21.73818707
20/3/21,19.17890633
20/3/21,25.70841
20/3/21,53.52573
20/3/21,59.7552
20/3/21,53.91415
20/3/21,49.32586
20/3/21,44.82565
20/3/21,41.89471
21/3/21,40.55809
21/3/21,41.01868
21/3/21,39.79253
21/3/21,39.60644
21/3/21,41.59338
21/3/21,45.37923
21/3/21,50.16466
21/3/21,58.08989
21/3/21,41.72036
21/3/21,25.37173
21/3/21,20.20907012
21/3/21,20.74268946
21/3/21,19.92487905
21/3/21,19.21775481
21/3/21,19.86512477
21/3/21,20.68385651
21/3/21,19.96781586
21/3/21,23.18986
21/3/21,55.90766
21/3/21,59.71947
21/3/21,54.03997
21/3/21,47.75844
21/3/21,45.33042
21/3/21,41.60377
22/3/21,37.64338
22/3/21,37.90271
22/3/21,37.4774
22/3/21,37.86339
22/3/21,39.47951
22/3/21,46.84331
22/3/21,58.21394
22/3/21,53.91912
22/3/21,40.03754
22/3/21,35.2898
22/3/21,28.39917
22/3/21,26.87428
22/3/21,26.09836
22/3/21,21.0897
22/3/21,19.27406291
22/3/21,19.54136372
22/3/21,17.6824844
22/3/21,25.9462
22/3/21,53.1731
22/3/21,61.09641
22/3/21,54.99458
22/3/21,49.32057
22/3/21,42.77383
22/3/21,40.18327
23/3/21,39.7332
23/3/21,38.56353
23/3/21,38.84975
23/3/21,38.5009
23/3/21,39.69344
23/3/21,45.23026
23/3/21,53.96701
23/3/21,48.81988
23/3/21,43.17315
23/3/21,34.23736
23/3/21,23.40804
23/3/21,19.92183052
23/3/21,19.77856506
23/3/21,19.12258081
23/3/21,21.1488756
23/3/21,19.25499286
23/3/21,19.38231436
23/3/21,30.41375
23/3/21,50.65223
23/3/21,67.40215
23/3/21,62.54191
23/3/21,53.29752
23/3/21,48.79612
23/3/21,45.66584
24/3/21,40.74429
24/3/21,40.74106
24/3/21,39.54166
24/3/21,39.60155
24/3/21,41.48744
24/3/21,47.46731
24/3/21,58.87638
24/3/21,55.74737
24/3/21,42.40413
24/3/21,36.04403
24/3/21,29.75635
24/3/21,26.51851
24/3/21,25.19772
24/3/21,24.30015
24/3/21,26.42469
24/3/21,26.51439
24/3/21,24.78113
24/3/21,37.01107
24/3/21,51.42468
24/3/21,62.11975
24/3/21,57.6983
24/3/21,50.99114
24/3/21,47.12352
24/3/21,42.15751
25/3/21,42.78647
25/3/21,41.20746
25/3/21,40.48957
25/3/21,40.47708
25/3/21,41.32702
25/3/21,46.93639
25/3/21,55.15294
25/3/21,53.41104
25/3/21,43.21247
25/3/21,39.12775
25/3/21,38.20334
25/3/21,35.67805
25/3/21,33.25217
25/3/21,33.8888
25/3/21,33.19484
25/3/21,33.34227
25/3/21,32.15374
25/3/21,40.04127
25/3/21,48.81473
25/3/21,55.49213
25/3/21,55.26071
25/3/21,50.41775
25/3/21,46.22224
25/3/21,42.31193
26/3/21,40.25641
26/3/21,38.61962
26/3/21,38.63966
26/3/21,38.58543
26/3/21,39.52842
26/3/21,46.83303
26/3/21,55.37285
26/3/21,54.69733
26/3/21,42.73577
26/3/21,38.94416
26/3/21,36.7867
26/3/21,28.2818
26/3/21,22.64905
26/3/21,20.258
26/3/21,19.31562152
26/3/21,22.67989
26/3/21,21.72409
26/3/21,36.14151
26/3/21,51.23576
26/3/21,67.7557
26/3/21,61.16145
26/3/21,56.35293
26/3/21,50.64463
26/3/21,48.52455
27/3/21,45.17619
27/3/21,42.97476
27/3/21,41.78011
27/3/21,41.36261
27/3/21,42.5406
27/3/21,46.50736
27/3/21,54.9246
27/3/21,45.97058
27/3/21,36.94659
27/3/21,22.45357
27/3/21,20.32144667
27/3/21,21.73327036
27/3/21,19.83055873
27/3/21,21.27382136
27/3/21,18.04802864
27/3/21,19.90681809
27/3/21,20.02324069
27/3/21,32.39949
27/3/21,51.64267
27/3/21,64.82778
27/3/21,59.39207
27/3/21,53.23354
27/3/21,48.46807
27/3/21,46.67463
28/3/21,51.13168
28/3/21,46.37665
28/3/21,45.97477
28/3/21,46.05901
28/3/21,46.99336
28/3/21,48.51927
28/3/21,52.53923
28/3/21,45.61166
28/3/21,33.79165
28/3/21,20.38171217
28/3/21,21.3972485
28/3/21,21.7687457
28/3/21,19.30626653
28/3/21,20.81640364
28/3/21,20.08037198
28/3/21,20.50860354
28/3/21,20.81123344
28/3/21,33.91509
28/3/21,61.46722
28/3/21,71.5127
28/3/21,62.71204
28/3/21,51.56677
28/3/21,45.85668
28/3/21,42.46235
29/3/21,39.64353
29/3/21,38.46713
29/3/21,38.16462
29/3/21,38.24948
29/3/21,39.20253
29/3/21,46.37539
29/3/21,55.7279
29/3/21,50.7099
29/3/21,36.94338
29/3/21,33.7712
29/3/21,23.59686
29/3/21,19.15572453
29/3/21,19.19290244
29/3/21,18.70518335
29/3/21,18.95705301
29/3/21,20.663
29/3/21,20.06651
29/3/21,31.33737
29/3/21,52.15734
29/3/21,63.11306
29/3/21,57.86588
29/3/21,51.84751
29/3/21,48.65828
29/3/21,42.28906
30/3/21,41.82415
30/3/21,40.1875
30/3/21,39.43587
30/3/21,39.34244
30/3/21,43.91759
30/3/21,48.61324
30/3/21,59.98749
30/3/21,54.33216
30/3/21,38.30495
30/3/21,25.28497
30/3/21,19.5597198
30/3/21,22.33657025
30/3/21,20.75601467
30/3/21,20.73743848
30/3/21,18.0572975
30/3/21,22.33279
30/3/21,25.09815
30/3/21,40.07963
30/3/21,59.57308
30/3/21,67.5224466
30/3/21,68.36457
30/3/21,55.14419
30/3/21,49.63787
30/3/21,46.91472
31/3/21,47.04523
31/3/21,45.0595
31/3/21,43.44876
31/3/21,42.66703
31/3/21,45.95976
31/3/21,49.36944
31/3/21,56.70211
31/3/21,51.69838
31/3/21,40.5447
31/3/21,28.63084
31/3/21,24.74245
31/3/21,20.85465
31/3/21,20.01052
31/3/21,22.05051
31/3/21,24.83651
31/3/21,28.50365
31/3/21,33.03607
31/3/21,45.93003
31/3/21,67.13274
31/3/21,77.45460106
31/3/21,73.31288
31/3/21,60.61479
31/3/21,52.36087
31/3/21,50.15424
1/4/21,48.19228
1/4/21,35.93711
1/4/21,33.63688
1/4/21,32.66023
